year,qqq_return,qqq_max_drawdown,qqq_observations,start_x,end_x,strategy_return,strategy_max_drawdown,strategy_observations,start_y,end_y,strategy,return_gap,mdd_gap,mdd_no_worse,mdd_strictly_better,return_within_5pp,return_within_10pp,both_within_5pp,both_within_10pp
2007,0.08794543063840421,-0.11448260142528455,150,2007-05-30,2007-12-31,0.07399413576601854,-0.11337709701850818,150,2007-05-30,2007-12-31,LongBear_EMA_RSI_OBV_VIX_multi_indicator,-0.013951294872385667,0.0011055044067763697,True,True,True,True,True,True
2008,-0.4172714865371451,-0.4999007426178871,253,2008-01-02,2008-12-31,-0.24586282505178114,-0.32470504907586906,253,2008-01-02,2008-12-31,LongBear_EMA_RSI_OBV_VIX_multi_indicator,0.17140866148536393,0.17519569354201803,True,True,True,True,True,True
2009,0.5468412950214381,-0.18285720465447075,252,2009-01-02,2009-12-31,0.4654365326654979,-0.1068960414525636,252,2009-01-02,2009-12-31,LongBear_EMA_RSI_OBV_VIX_multi_indicator,-0.08140476235594019,0.07596116320190716,True,True,False,True,False,True
2010,0.20143762567919277,-0.15609285416254293,252,2010-01-04,2010-12-31,0.2109423646334383,-0.13553359652822772,252,2010-01-04,2010-12-31,LongBear_EMA_RSI_OBV_VIX_multi_indicator,0.009504738954245529,0.02055925763431521,True,True,True,True,True,True
2011,0.03475800926494377,-0.160992676056681,252,2011-01-03,2011-12-30,-0.014937680393989572,-0.1588694580429031,252,2011-01-03,2011-12-30,LongBear_EMA_RSI_OBV_VIX_multi_indicator,-0.04969568965893334,0.0021232180137779055,True,True,True,True,True,True
2012,0.18112534240461264,-0.11637894714771613,250,2012-01-03,2012-12-31,0.17737040858096242,-0.11535128206161249,250,2012-01-03,2012-12-31,LongBear_EMA_RSI_OBV_VIX_multi_indicator,-0.0037549338236502194,0.0010276650861036352,True,True,True,True,True,True
2013,0.3663418084306618,-0.058537955039066336,252,2013-01-02,2013-12-31,0.36059444743571767,-0.05831932563762032,252,2013-01-02,2013-12-31,LongBear_EMA_RSI_OBV_VIX_multi_indicator,-0.005747360994944106,0.00021862940144601328,True,True,True,True,True,True
2014,0.19181382856500617,-0.0824853533251676,252,2014-01-02,2014-12-31,0.19056375740511067,-0.08152238681126933,252,2014-01-02,2014-12-31,LongBear_EMA_RSI_OBV_VIX_multi_indicator,-0.001250071159895505,0.0009629665138982668,True,True,True,True,True,True
2015,0.09435929702570856,-0.13941054644448492,252,2015-01-02,2015-12-31,0.0870925595731622,-0.1379382981075551,252,2015-01-02,2015-12-31,LongBear_EMA_RSI_OBV_VIX_multi_indicator,-0.007266737452546357,0.0014722483369298267,True,True,True,True,True,True
2016,0.0709787945809095,-0.13892378087763313,252,2016-01-04,2016-12-30,0.05926531385727518,-0.11777314868024791,252,2016-01-04,2016-12-30,LongBear_EMA_RSI_OBV_VIX_multi_indicator,-0.011713480723634317,0.021150632197385222,True,True,True,True,True,True
2017,0.32663542829204406,-0.04882008555649564,251,2017-01-03,2017-12-29,0.3239320570012585,-0.04851557567060227,251,2017-01-03,2017-12-29,LongBear_EMA_RSI_OBV_VIX_multi_indicator,-0.0027033712907855723,0.00030450988589336703,True,True,True,True,True,True
2018,-0.001262008063145803,-0.2279666681395237,251,2018-01-02,2018-12-31,0.02841456953693844,-0.1723600825001791,251,2018-01-02,2018-12-31,LongBear_EMA_RSI_OBV_VIX_multi_indicator,0.029676577600084242,0.05560658563934462,True,True,True,True,True,True
2019,0.3896158521282893,-0.10983202295735706,252,2019-01-02,2019-12-31,0.3409129398188142,-0.10854982536423563,252,2019-01-02,2019-12-31,LongBear_EMA_RSI_OBV_VIX_multi_indicator,-0.0487029123094751,0.0012821975931214258,True,True,True,True,True,True
2020,0.48406128849703234,-0.2855935565828831,253,2020-01-02,2020-12-31,0.4445762763361434,-0.22143193422868346,253,2020-01-02,2020-12-31,LongBear_EMA_RSI_OBV_VIX_multi_indicator,-0.039485012160888955,0.06416162235419964,True,True,True,True,True,True
2021,0.27419694495662195,-0.10851528987739201,252,2021-01-04,2021-12-31,0.2691946747391394,-0.10591590908067428,252,2021-01-04,2021-12-31,LongBear_EMA_RSI_OBV_VIX_multi_indicator,-0.005002270217482563,0.002599380796717732,True,True,True,True,True,True
2022,-0.3257699158587175,-0.34827972472096713,251,2022-01-03,2022-12-30,-0.2963803308388008,-0.32003842578822905,251,2022-01-03,2022-12-30,LongBear_EMA_RSI_OBV_VIX_multi_indicator,0.02938958501991673,0.02824129893273808,True,True,True,True,True,True
2023,0.5485553825101768,-0.10779921970614925,250,2023-01-03,2023-12-29,0.516445336608945,-0.10697777825567023,250,2023-01-03,2023-12-29,LongBear_EMA_RSI_OBV_VIX_multi_indicator,-0.03211004590123179,0.0008214414504790213,True,True,True,True,True,True
2024,0.2557826665909926,-0.13557734253565956,252,2024-01-02,2024-12-31,0.2563548615889235,-0.12852797907950997,252,2024-01-02,2024-12-31,LongBear_EMA_RSI_OBV_VIX_multi_indicator,0.0005721949979309304,0.007049363456149593,True,True,True,True,True,True
2025,0.20772555521686442,-0.22768308447045493,250,2025-01-02,2025-12-31,0.16299682342443322,-0.2104766088610499,250,2025-01-02,2025-12-31,LongBear_EMA_RSI_OBV_VIX_multi_indicator,-0.0447287317924312,0.017206475609405025,True,True,True,True,True,True
2026,0.17623378608717455,-0.11723576957697124,151,2026-01-02,2026-08-10,0.1820438383164067,-0.11653238592079718,151,2026-01-02,2026-08-10,LongBear_EMA_RSI_OBV_VIX_multi_indicator,0.005810052229232143,0.0007033836561740614,True,True,True,True,True,True
